2025/07/04 09:21:57 Loading cert from /workdir/cert.pem
2025/07/04 09:21:57 Loading key from /workdir/key.pem
2025/07/04 09:21:57 Opened archive /workdir/archive.wprgo
2025/07/04 09:21:57 Loading script from deterministic.js
2025/07/04 09:21:57 Use Ctrl-C to exit.
2025/07/04 09:21:57 Starting server on https://127.0.0.1:8081
2025/07/04 09:21:57 Starting server on http://127.0.0.1:8080
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/css/codeboxrflexiblecountdown-public.css?ver=1.8.3): serving 200, 911 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dashicons.min.css?ver=6.8.1): serving 200, 35730 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/user-access-manager/assets/css/uamLoginForm.css?ver=2.2.25): serving 200, 215 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/wordpress/wp-content/uploads/2016/07/IMG_0472-768x576.jpg): serving 200, 48023 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/09/TMA_image.png): serving 200, 826416 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/siteorigin-widgets/sow-image-default-8b5b6f678277.css?ver=6.8.1): serving 200, 224 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.32.1): serving 200, 563 bytes
2025/07/04 09:24:36 ServeHTTP(https://www.google-analytics.com/analytics.js): serving 200, 20994 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6): serving 200, 1648 bytes
2025/07/04 09:24:36 ServeHTTP(https://www.powr.io/powr.js): serving 200, 12471 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6): serving 200, 3667 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/js/codeboxrflexiblecountdown-public.js?ver=1.8.3): serving 200, 84901 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1): serving 200, 3503 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/hoverIntent.min.js?ver=1.10.2): serving 200, 706 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1): serving 200, 4265 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/wordpress/wp-content/uploads/2017/06/pdf.gif): serving 200, 203 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/megamenu/js/maxmegamenu.js?ver=3.6.1): serving 200, 6025 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee_mb_blue.gif): serving 200, 3035 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee-comsoc-300x116.png): serving 200, 19101 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Italic.woff): serving 200, 39144 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/09/logoIFIP.gif): serving 200, 87007 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/12/acm_4c_grad_pos.png): serving 200, 11231 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 09:24:36 ServeHTTP(https://www.google-analytics.com/j/collect?v=1&_v=j101&a=992137445&t=pageview&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2Fawards%2F&ul=en-us&de=UTF-8&dt=Awards%20%E2%80%93%20TMA%20Conference%202017&sd=24-bit&sr=800x600&vp=1351x621&je=0&_u=IEBAAEABAAAAACAAI~&jid=992137445&gjid=992137445&cid=901735516.1751620917&tid=UA-84828087-1&_gid=901735516.1751620917&_r=1&_slc=1&z=1984274890): serving 200, 15 bytes
2025/07/04 09:24:36 ServeHTTP(https://www.googletagmanager.com/gtag/js?id=G-GYVK301NVR&cx=c&_slc=1): serving 200, 122444 bytes
2025/07/04 09:24:36 ServeHTTP(https://region1.google-analytics.com/g/collect?v=2&tid=G-GYVK301NVR&gtm=45je5710v9108812881za200&_p=1751620917000&gcd=13l3l3l2l2l1&npa=0&dma_cps=syphamo&dma=1&tag_exp=101509157~103116026~103200004~103233427~103351869~103351871~104684208~104684211~104718208~104839054~104839056~104885889~104885891&ul=en-us&sr=800x600&cid=901735516.1751620917&ir=1&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B137.0.7151.55%7CChromium%3B137.0.7151.55%7CNot%252FA)Brand%3B24.0.0.0&uamb=0&uam=&uap=Linux&uapv=6.11.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=EBAI&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2Fawards%2F&dt=Awards%20%E2%80%93%20TMA%20Conference%202017&sid=1751620917&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=2909): serving 204, 0 bytes
2025/07/04 09:24:37 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 09:24:37 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 09:24:52 ServeHTTP(http://clients2.google.com/time/1/current?cup2key=9:0SFpNdFaNYnzd_R5Pmdn32REDjAxksia7SqI-wGGqVc&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855): serving 200, 105 bytes
2025/07/04 09:24:55 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 09:24:56 ScriptInjector(https://tma.ifip.org/2017/call-for-papers/): succesfully injected
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/call-for-papers/): serving 200, 12217 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/css/codeboxrflexiblecountdown-public.css?ver=1.8.3): serving 200, 911 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1): serving 200, 1031 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/maxmegamenu/style.css?ver=054617): serving 200, 244 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dashicons.min.css?ver=6.8.1): serving 200, 35730 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/user-access-manager/assets/css/uamLoginForm.css?ver=2.2.25): serving 200, 215 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/siteorigin-widgets/sow-image-default-8b5b6f678277.css?ver=6.8.1): serving 200, 224 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/09/TMA_image.png): serving 200, 826416 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.32.1): serving 200, 563 bytes
2025/07/04 09:24:56 ServeHTTP(https://www.google-analytics.com/analytics.js): serving 200, 20994 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6): serving 200, 1648 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1): serving 200, 3503 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6): serving 200, 3667 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1): serving 200, 4265 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/hoverIntent.min.js?ver=1.10.2): serving 200, 706 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/megamenu/js/maxmegamenu.js?ver=3.6.1): serving 200, 6025 bytes
2025/07/04 09:24:56 ServeHTTP(https://www.powr.io/powr.js): serving 200, 12471 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/js/codeboxrflexiblecountdown-public.js?ver=1.8.3): serving 200, 84901 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee_mb_blue.gif): serving 200, 3035 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee-comsoc-300x116.png): serving 200, 19101 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/12/acm_4c_grad_pos.png): serving 200, 11231 bytes
2025/07/04 09:24:56 ServeHTTP(https://www.google-analytics.com/j/collect?v=1&_v=j101&a=992137445&t=pageview&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2Fcall-for-papers%2F&ul=en-us&de=UTF-8&dt=Call%20for%20Papers%20%E2%80%93%20TMA%20Conference%202017&sd=24-bit&sr=800x600&vp=1351x621&je=0&_u=IEBAAEABAAAAACAAI~&jid=992137445&gjid=992137445&cid=897557850.1751620917&tid=UA-84828087-1&_gid=897557850.1751620917&_r=1&_slc=1&z=1984274890): serving 200, 15 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/09/logoIFIP.gif): serving 200, 87007 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 09:24:56 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 09:24:56 ServeHTTP(https://www.googletagmanager.com/gtag/js?id=G-GYVK301NVR&cx=c&_slc=1): serving 200, 122445 bytes
2025/07/04 09:24:57 ServeHTTP(https://region1.google-analytics.com/g/collect?v=2&tid=G-GYVK301NVR&gtm=45je5710v9108812881za200&_p=1751620917000&gcd=13l3l3l2l2l1&npa=0&dma_cps=syphamo&dma=1&tag_exp=101509157~103116026~103200004~103233427~103351869~103351871~104684208~104684211~104718208~104839054~104839056~104885889~104885891&ul=en-us&sr=800x600&cid=897557850.1751620917&ir=1&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B137.0.7151.55%7CChromium%3B137.0.7151.55%7CNot%252FA)Brand%3B24.0.0.0&uamb=0&uam=&uap=Linux&uapv=6.11.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=EBAI&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2Fcall-for-papers%2F&dt=Call%20for%20Papers%20%E2%80%93%20TMA%20Conference%202017&sid=1751620917&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=2914): serving 204, 0 bytes
2025/07/04 09:24:57 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 09:24:57 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 09:25:13 ServeHTTP(http://clients2.google.com/time/1/current?cup2key=9:5aGpy1maYFAA-fkQZhQzn4dmYHy8QJv3cRWEbBqA60M&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855): serving 200, 103 bytes
2025/07/04 09:25:16 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 09:25:17 ScriptInjector(https://tma.ifip.org/2017/committee/): succesfully injected
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/committee/): serving 200, 13792 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/css/codeboxrflexiblecountdown-public.css?ver=1.8.3): serving 200, 911 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/user-access-manager/assets/css/uamLoginForm.css?ver=2.2.25): serving 200, 215 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1): serving 200, 1031 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/09/TMA_image.png): serving 200, 826416 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/08/marco_mellia2-SD-e1470170722394-150x150.jpg): serving 200, 6361 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/maxmegamenu/style.css?ver=054617): serving 200, 244 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dashicons.min.css?ver=6.8.1): serving 200, 35730 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/08/1e281e9.jpg): serving 200, 10327 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/siteorigin-widgets/sow-image-default-8b5b6f678277.css?ver=6.8.1): serving 200, 224 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.32.1): serving 200, 563 bytes
2025/07/04 09:25:17 ServeHTTP(https://www.google-analytics.com/analytics.js): serving 200, 20994 bytes
2025/07/04 09:25:17 ServeHTTP(https://www.powr.io/powr.js): serving 200, 12471 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1): serving 200, 3503 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/megamenu/js/maxmegamenu.js?ver=3.6.1): serving 200, 6025 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6): serving 200, 3667 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6): serving 200, 1648 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1): serving 200, 4265 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/hoverIntent.min.js?ver=1.10.2): serving 200, 706 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/js/codeboxrflexiblecountdown-public.js?ver=1.8.3): serving 200, 84901 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee_mb_blue.gif): serving 200, 3035 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/12/acm_4c_grad_pos.png): serving 200, 11231 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee-comsoc-300x116.png): serving 200, 19101 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/09/logoIFIP.gif): serving 200, 87007 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/08/David_Malone_326x326.png): serving 200, 183125 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/08/pedro_casas-150x150.jpg): serving 200, 5259 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/08/anna-135x150.jpg): serving 200, 6121 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/08/0420995.jpg): serving 200, 12384 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/08/P1010989-PoliJPG.jpg): serving 200, 1152937 bytes
2025/07/04 09:25:17 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 09:25:17 ServeHTTP(https://www.google-analytics.com/j/collect?v=1&_v=j101&a=992137445&t=pageview&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2Fcommittee%2F&ul=en-us&de=UTF-8&dt=Committee%20%E2%80%93%20TMA%20Conference%202017&sd=24-bit&sr=800x600&vp=1351x621&je=0&_u=IEBAAEABAAAAACAAI~&jid=992137445&gjid=992137445&cid=833200892.1751620917&tid=UA-84828087-1&_gid=833200892.1751620917&_r=1&_slc=1&z=1984274890): serving 200, 15 bytes
2025/07/04 09:25:17 ServeHTTP(https://www.googletagmanager.com/gtag/js?id=G-GYVK301NVR&cx=c&_slc=1): serving 200, 122329 bytes
2025/07/04 09:25:17 ServeHTTP(https://region1.google-analytics.com/g/collect?v=2&tid=G-GYVK301NVR&gtm=45je5711h2v9108812881za200&_p=1751620917000&gcd=13l3l3l2l2l1&npa=0&dma_cps=syphamo&dma=1&tag_exp=101509157~103116026~103200004~103233427~103351869~103351871~104684208~104684211~104718208~104839054~104839056~104885889~104885891&ul=en-us&sr=800x600&cid=833200892.1751620917&ir=1&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B137.0.7151.55%7CChromium%3B137.0.7151.55%7CNot%252FA)Brand%3B24.0.0.0&uamb=0&uam=&uap=Linux&uapv=6.11.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=EBAI&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2Fcommittee%2F&dt=Committee%20%E2%80%93%20TMA%20Conference%202017&sid=1751620917&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=2807): serving 204, 0 bytes
2025/07/04 09:25:18 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 09:25:18 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 09:25:34 ServeHTTP(http://clients2.google.com/time/1/current?cup2key=9:4t1QIRTajJbYTbw9s1e9IumPwvOEn_7ZeHxAXodDliQ&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855): serving 200, 106 bytes
